Scientific Name,Habitat Comments
Lasiurus intermedius,"These bats occur in deciduous, mixed deciduous-coniferous, and pine-dominated forests (including managed stands), which may be interspersed with cultivated areas, and they are commonly found along waterways (Schmidly et al. 1977, Schmidly 1991, Menzel et al. 2001, Miles et al. 2006, Perry and Thill 2008, Hein et al. 2009). Foraging occurs in open areas and around tree canopies. Habitats and roost-tree characteristics vary geographically and seasonally (Boyles and Robbins 2006). Males tend to roost solitarily; females form nursery colonies in summer, usually in trees or buildings.<br /><br />Roosts include cavities in live or dead trees, spaces behind loose tree bark, tree foliage, Spanish moss, leaf litter, rock crevices, abandoned burrows in the ground, and nooks, spaces, and crevices in many types of human-made structures; rarely caves (Barbour and Davis 1969; Watkins 1972; Chapman and Chapman 1990; Bowles et al. 1996, 2005; Menzel et al. 2001; Kurta et al. 2005; Boyles and Robbins 2006; Marks and Marks 2006; Miles et al. 2006; Perry and Thill 2008; Hein et al. 2009). Individuals roosting in trees frequently change roosts (e.g., Bowles et al. 1996, Menzel et al. 2001). Winter roosts are poorly known in most areas (e.g., Ammerman et al. 2012), but individuals in southwestern Missouri roosted primarily in trees and sometimes underground in January-February (Bowles et al. 2005). Maternity colonies may be found under loose bark, in tree cavities, in Spanish-moss, or in buildings."
Lasiurus seminolus,"Prefers moist thickets, forests, field borders; generally uses early and mid-successional habitats with thickets and vines, may range short distance into adjacent fields with sparse redcedars, may cross dirt roads (Morzillo et al. 2003). Builds nests and feeding platforms on the ground and above ground in the understory. Young are born in nests that usually are a few inches to 15 feet above ground in bushes and vines. In south-central Florida, nearly all daytime refuges were on the ground under leaf litter; a few were aboveground in shrubs (Frank and Layne 1992)."
Lontra canadensis,"White-tailed deer occupy many types of habitats in mountains and lowlands, including various forests and woodlands, forest edges, shrublands, grasslands with shrubs, and residential areas. They are often associated with successional vegetation, especially near agricultural lands. In the north in winter, they tend to be in areas with minimal snow cover (if possible) and often use stands of conifers for shelter. Within arid regions, white-tailed deer prefer mesic situations (riparian zones, montane woodlands)."
Lynx rufus,"Prefers fresh or brackish marshes, lakes, ponds, swamps, and other bodies of slow-moving water. Most abundant in areas with cattail. Rare or absent in large artificial impoundments where fluctuating water levels eliminate littoral zone plants (food supply) (Caire et al. 1989). Dens in bank burrow or conical house of vegetation in shallow vegetated water. Sometimes in uplands-Clough 1987. <br /><br />See Clark (1994) for information on habitat selection in experimental marshes undergoing succession in Manitoba."
Marmota monax,"This species is semi-aquatic and prefers saltwater and freshwater marshes (Boone et al. 2022, Goodyear 1987, Kruchek 2004, Rose 2020). It is also occasionally found in swamps, moist meadows, and agricultural crops (Cooney et al. 2015, Kruchek 2004). Subspecies <i>argentatus</i> prefers mangrove forests (Goodyear 1987, Taillie et al. 2020). Uplands bordering wetlands may be important as refuges during high tides (Kruchek 2004). Nests are placed in grassy vegetation under debris, or woven in aquatic emergents a foot or more above the high water line (Goodyear 1987, Taillie et al. 2020)."
Megaptera novaeangliae,"Deciduous woodlands with thick humus. Adapted to second growth stands, old fields, hedgerows. Prefers well-drained, light, moist soil with well-mixed organic matter and minerals. Avoids soils that are hard, dry, or with a large clay content. Two tunnel systems are constructed. Deeper system (10-18"" deep) gives resting, breeding space, and winter shelter. Males leave tunnel systems in search of females in breeding season."
Mephitis mephitis,"These bats are associated with forested landscapes, where they forage near trees (including forest perimeters) and along waterways (Fujita and Kunz 1984). In many areas, most foraging occurs in riparian areas (e.g., Ellis et al. 2002, Ford et al. 2005, Menzel et al. 2005). In Nova Scotia, they appeared to use primarily areas with intact, unfragmented forest cover (Farrow and Broders 2011). In spring and summer in deciduous forest in western North Carolina, nonreproductive individuals selected mature stands or buffer zones near perennial streams, and they tended to roost near openings (perhaps to minimize commuting costs when openings comprise a small proportion of a densely forested landscape) (O'Keefe et al. 2009).<br /><br />Maternity and other summer roosts probably are mainly in dead or live tree foliage (including attached lichen clumps such as <i>Usnea </i>and ""Spanish moss"") (Carter and Menzel 2007, Poissant et al. 2010); caves, mines, and rock crevices may be used as night roosts between foraging forays (Barbour and Davis 1969). Maternity colonies also may utilize human-made structures (buildings, bridges; e.g., Ferrara and Leberg 2005) or tree cavities; sometimes these are in open sites that would not be tolerated by most other bats (Barbour and Davis 1969). In summer in Arkansas, roosts were most often among dead leaves of oaks in mature (&gt;50-year-old) forest with a relatively complex structure and a hardwood component, but 3 of 7 maternity roosts were in clumps of dead needles of live, large pines (Perry and Thill 2007). In Indiana, pregnant and lactating females roosted exclusively in foliage, typically in clusters of dead leaves and less often in live foliage or squirrel nests (Veilleux et al. 2003). In Nova Scotia, colonies of females roost exclusively in clumps of the lichen <i>Usnea</i>, typically in spruce trees (Poissant et al. 2010). In Indiana, Veilleux and Veilleux (2004) provided limited evidence that females are faithful to small roost areas both within and between years, and that juvenile females exhibit female natal philopatry. Reproductive females roost alone or in groups of up to about 50 individuals (Perry and Thill 2007).<br /><br />Hibernation sites often are in caves (e.g., Briggler and Prather 2003), mines, or cavelike tunnels (e.g., Slider and Kurta 2011), also box culverts under highways, especially those near forest (Texas; Sandel et al. 2001). Kurta et al. (2007) recorded hibernation in a dam and colonization of a cave that had been highly altered for commercialization. Hibernating individuals perch singly, infrequently in small groups."
Mesoplodon densirostris,"In most areas, prefers bottomland hardwood forests, swamps, and mesic and hydric hammocks but has also been found in margins of cleared fields, old fields, edges of salt savanna, palmetto thickets bordering beaches, dry hammocks, beach dunes, pine flatwoods, upland timber, mixed pine-hardwood forests, pine-turkey oak, sand pine scrub, along rocky bluffs or ledges, in caves, and in little-used buildings (see Wolfe and Linzoy 1977). Probably most common in areas that periodically are inundated. Terrestrial and arboreal. Large logs and stumps are an important habitat component (McCay 2000). In south-central Florida, daytime refuges were primarily in gopher tortoise burrows, also in ground holes and occasionally in hollow tree cavities (Frank and Layne 1992). Young are born in nests in logs, stumps, moss, under loose bark, under brush, or in old buildings; prefers elevated nest sites, as much as 6 m above ground (see Kirkland and Layne 1989, Handley 1991)."
Mesoplodon europaeus,"Prefers woodland edges, brushy fields, clearcuts, riparian zones; primarily a forest dweller. In Pennsylvania, abundance increased with forest fragmentation (Yahner 1992), and in Indiana density was highest in forest patches of less than 2 ha (Krohne and Hoch 1999). In Ohio, summer habitats included roadsides, crop fields, and farmsteads; these may act as dispersal corridors between wooded habitats (Cummings and Vessey 1994). In Indiana, few mice dispersed through grassland or agricultural fields surrounding forest patches (Krohne and Hoch 1999). Nests are placed in a variety of sites; underground (especially in winter), under debris, in building, in log or stump, in tree cavity, in old squirrel or bird nest, or in bird nest box."
Microtus pennsylvanicus,"Uses a wide variety of upland and riparian habitats from open areas and brushlands to coniferous and deciduous forests. Nest sites as varied as habitat. May be placed in buildings, burrows, under logs, in thick vegetation, or in tree cavities."
Microtus pinetorum,"Favors dry sandy fields and beaches with grass/shrub cover; at Merritt Island, Florida, usually among clumps of palmetto and sea grape with expanses of open sand or among dense palmetto-sea grape-wax myrtle. Occupies underground burrows when inactive; entrances in clumps of grass or beneath sheltering vegetation (Matthews and Moseley 1990). Young are born in underground burrows."
Mus musculus,"Pelagic, prefers deep water, sometimes around islands or in shallow shelf waters (e.g., 40-70 m; Scott and Sadove 1997). Tend to occur in highest densities near productive waters, and often near steep drop-offs or strong oceanographic features, e.g. edges of continental shelves, large islands, and offshore banks and over submarine trenches and canyons (Gosho et al. 1984, Reeves and Whitehead 1997, Gregr and Trites 2001, Whitehead 2003). Females generally restricted to waters with surface temperatures warmer than about 15 degrees C and rarely found in waters less than 1000 m deep. Males, although primarily found in deep water, are sometimes found in waters 200 to 1000 m deep (Reeves and Whitehead 1997)."
Mustela nivalis,"Various habitats; usually in moist situations, often along streams and shorelines. Dens under logs or rock, in tree hole, ground burrow, or in bank den (Armstrong 1975)."
Myocastor coypus,Primarily pelagic; usually not near land except around oceanic islands and coast with deep water nearby (Leatherwood and Reeves 1983).
Myotis austroriparius,"Now associated generally with mountainous or remote undisturbed areas. May occupy wide variety of habitats: swamps, riparian woodlands, broken country with good cover of brush or woodland. Beier (1993) determined that habitat areas of at least 2200 sq km are needed to ensure long-term population persistence; protection of corridors for immigration is highly desirable. Young are born in secluded places among rocks or dense vegetation (e.g., see Beier et al. 1995, Bleich et al. 1996)."
Myotis grisescens,"Buildings and other structures in cities, villages, and farm country, also dumps and open areas near abundant food. Most common in colder climates of high latitudes; in warmer regions restricted to habitats highly modified by humans (Musser and Carleton, in Wilson and Reeder 1993). In Hawaii: locally common in some lowland cane fields, rare or absent in extensive grassland and most native forests (Tomich 1986). In Oklahoma, moved from fields to buildings in fall (Caire et al. 1989). Young are born in nests in buildings, under debris, or underground."
Myotis leibii,"Often associated with humans; buildings, sewers, seaports. In natural habitats in some areas (e.g., Pacific islands [wooded gulches, sugar cane fields, dry and wet forests, coconut palms] and West Indies). In Hawaii (western Mauna Kea), preferred dense tree stands and tall grass over open areas (Amarasekare 1994); abundant in mesic to wet native forest on Maui (Sugihara 1997). Often arboreal. Young are born in nests in protected sites in buildings or within other cover (e.g., ricebird nests in Hawaii, Van Riper 1974; coconut shells, Twibell 1973)."
Myotis lucifugus,"Prefers old fields, marshes, and wet meadows. Climbs among herbaceous vegetation. Nests are placed in tangled vegetation under debris or above ground."
Myotis septentrionalis,"Most commonly occurs in open areas with moist soils, such as lawns, meadows, and golf courses. Bottomland wooded areas also are utilized. Soft humid soils are preferred over gravelly, dry soils. Two types of underground passageways: near-surface and deep. Surface are commonly seen with their raised ridges. Deep (10-24"") provide wintering/breeding areas. Den sites often are located under protection of a surface object."
Myotis sodalis,"Prefers mature deciduous and mixed forests with abundant supplies of mast (e.g., acorns, hickory nuts). A diversity of nut trees is needed to support high densities. Also uses city parks and floodplains. Seldom far from permanent open water. In southern Alabama, narrow bands of hardwoods along ephemeral streams were an important component of the habitat in even-aged pine and mixed pine-hardwood stands (Fischer and Holler 1991). Rests in tree cavity or leaf nest; leaf nests apparently are made primarily by dispersing juveniles 18-19 weeks old. Nests in tree cavities or in leaf nests, usually 25 feet or more above ground. Most winter-spring litters are born in tree cavities, most spring-summer litters in leaf nests (Teaford 1986). Cavities suitable for nesting are dry, 15-25 cm in diameter, 40-50 cm deep, with an entrance hole about 8 cm in diameter (Teaford 1986). Females may move young from tree cavity nest to leaf nest, possibly to escape fleas."
Napaeozapus insignis,"Often in open mixed hardwood forest or mixed pine-hardwood associations, but has adapted well to disturbed areas, hedgerows, and city parks. Prefer savannas or open woodlands to dense forests (Flyger in Wilson and Ruff 1999). In Michigan, four favorite habitats in descending order: oak-hickory woodlands, beech-basswood-maple, scrub oak, and floodplains (Allen 1943). In the southeastern U.S., prinicipal habitat is mature open forests of longleaf pine and turkey oak with an open understory; adjacent bottomland hardwood forests may be occupied in summer and during periods of drought (see Handley 1991). Western range extensions are associated with riparian corridors of cottonwoods and fencerows of osage orange. Dens are in tree hollows (preferred) or leaf nests (especially in mild weather). Young are born in a tree cavity or leaf nest; tree hollows are preferred for rearing young. Individuals use up to about nine nests annually. <br><br>A few particular plant communities of the Coastal Plain appear to be important in maintaining fox squirrel populations there. The structure, age, diversity, and extent of these communities within the overall pine-oak forest provide an array of often subtle requirements for the success of the squirrel in the Southeast (Weigl et al. 1989). <br><br>In Florida and North Carolina, habitats are primarily longleaf pine (PINUS PALUSTRIS)-turkey oak (QUERCUS LAEVIS) sandhills characterized by large, well-spaced pines and an understory of scattered or clumped oaks (Moore 1953, Kantola 1986, Weigl et al. 1989, Cox 1990), although squirrels may also be found in other open pine stands, mixed pine-hardwood forests, and in ecotones between forest types. Habitat structure, specifically the size and spacing of pine and oak trees, appears to be more important than the actual species composition of the habitat (Taylor 1973, Hilliard 1979, Weigl et al. 1989). Only stands with large mature trees appear to supply adequate supplies of food and nesting sites. The large size of the eastern fox squirrel appears to adapt it to the openness of the pine-oak forest and the arrangements of habitats within the Coastal Plain. Large size is advantageous in handling the large cones of longleaf pine and in traveling along the ground between widely spaced trees, food sources, and blocks of habitat (Weigl et al. 1989). <br><br>Use of edge habitats by fox squirrels is repeatedly mentioned in the literature (Smith and Follmer 1972, Flyger and Smith 1980, Nixon et al. 1984, Kantola 1986, Weigl et al. 1989, Cox 1990). While fox squirrels in North Carolina Sandhills used pine-oak forest at least 80 percent of the time, there was marked seasonality in habitat use. During the winter months, fox squirrel activity was significantly higher in edge habitats and in bottomland forest, while in the summer months activity shifted from open pinelands and sand ridges toward moister lowlands (Weigl et al. 1989). Based on a one-year study of Florida fox squirrels, Kantola and Humphrey (1990) suggested that the best habitats may be the edges between longleaf pine savanna and live oak (QUERCUS VIRGINIANA) forest where the availability of oak mast may be most dependable from year to year. <br><br>Weigl et al. (1989) showed that fox squirrels chose nest sites surrounded by vegetation typical of longleaf pine-turkey oak forest (Wells and Shunk 1931, Braun 1964, Waggoner 1975, Christensen 1988). Fox squirrels nested in areas characterized by open, low diversity, mature forest with little understory and xeric conditions. This contrasted markedly with conditions typical of gray squirrel nest sites, which generally were in areas of closed-canopy, high diversity, dense understory, and generally mesic conditions. <br><br>Nests are of critical importance to the survival of fox squirrels throughout their range, and nest selection and use by eastern fox squirrels has received considerable attention (Moore 1957, Hilliard 1979, Flyger and Smith 1980, Weigl et al. 1989, Kantola and Humphrey 1990). Tree hollows are particularly important in rearing young and for protection from severe weather for all tree squirrels. <br><br>Fox squirrels in the southeastern U.S. often use hardwood cavities in deciduous forest, bottomlands, and mixed forests, despite the fact that the majority of foraging takes place in pine-dominated stands. Kantola and Humphrey (1990) also reported higher nest use in lower slope situations than on drier sandhill areas. Suitable hollows are fairly scarce in pine-oak forests, primarily owing to timber management practices, firewood cutting, and oak suppression (Weigl et al. 1989; Weigl, pers. comm.), but are more abundant in adjacent more mesic habitats. <br><br>Leaf nests are frequently used during warmer months and in the more southern portions of the squirrels' range. Use of leaf nests in North Carolina was associated with periods of mild weather and/or abundant food, and Weigl et al. (1989) found that nest selection during the warmest periods occurred most often in moister habitats and wetland edges. In Florida, tree cavity nests were rarely used even when abundant, comprising only 7.4% of all nest locations recorded (Kantola and Humphrey 1990)."
Neofiber alleni,"Favors dense, grassy fields and roadside edges; also in brushy or weedy areas or among reeds and cattails along streams or ponds, in irrigated fields, and in desertscrub with little grass. Nests typically are built under logs, rocks, underground."
Neogale frenata,N/A
Neogale vison,"Occupies most terrestrial habitats excluding areas with very little or no vegetation. Thick leaf litter in damp forests may represent favored habitat, although appears adaptable to major successional disturbances. In Nova Scotia, diet indicated that much foraging was done among wrack on beaches (Stewart et al. 1989). Nest sites are typically in shallow burrows or above ground in logs and stumps."
Neogale vison lutensis,"Mountainous, forested areas (deciduous or evergreen) with loose talus. Rocky damp areas with deep crevices covered by leaf mold and roots are preferred. May occur along small mountain streams. Will use artificial talus created by road construction and pit mines. ""SOREX DISPAR is probably the most stenotopic mammal in eastern North America..."" (Webster 1987). Trapping results reported by Richmond and Grimm (1950) suggest that Long-tailed Shrews spend most of their time in the labyrinth of spaces between rocks about a foot beneath the surface. Nest sites are usually associated with natural subterranean tunnels among boulder crevices."
Neotoma floridana,"Most abundant in damp wooded areas, both in conifer and hardwood habitats. Nest sites are beneath stumps, rotted logs, or rocks (Whitaker, in Wilson and Ruff 1999)."
Neotoma floridana haematoreia,"Found in a variety of habitats. Appears to prefer grassy openings of boreal forest. Moist habitats are preferred over dry areas. In Kentucky-Tennessee, much less active above ground than was <i>S. longirostris</i> (Feldhamer et al. 1993). Nest sites are not well known."
Neotoma floridana illinoensis,"Various habitats ranging from bogs and damp woods to upland shrubby or wooded areas; apparently prefers moist to wet areas, usually bordering swamps, marshes, or rivers, and most often associated with heavy ground cover (French 1980). Generally resides underground or under ground cover. Might respond favorably to disturbances that allow dense ground cover to thrive (Pagels et al. 1982). <br><br>Subspecies EIONIS: cypress swamps, bay swamps, hydric hammocks, slash pine and longleaf pine flatwoods, palmetto thickets, longleaf pine sandhills, xeric hammocks, sand pine scrub, clear-cuts. Subspecies LONGIROSTRIS: various lowland habitats, fields and forest edges in mountains, areas with heavy ground vegetation; in Virginia, common throughout the Piedmont and Coastal Plain, uncommon in western highlands. Subspecies FISHERI: most abundant in mesic successional habitats (Jones et al. 1991)."
Nycticeius humeralis,"Prefer forested areas or habitats with significant cover (Dragoo and Honeycutt, in Wilson and Ruff 1999). Also open and brushy areas, rocky canyons and outcrops in woodlands and prairies. When inactive or bearing young, occupies den in burrow abandoned by other mammal, under brushpile, in hollow log or tree, in rock crevice, under building, or in similar protected site."
Ochrotomys nuttalli,"Along southeastern U.S.: continental shelf, usually inside or near 185 m contour (within 250-350 km of coast); sometimes moves into very shallow water near shore (usually replaced in shallow water by Unrankable RSIOPS). Offshore distribution poorly known."
Odocoileus virginianus,"Tropical and warm temperate seas, especially far offshore in deep water; normally where sea surface temperature is above 25 C (Leatherwood and Reeves 1983). Sometimes associated with yellowfin tuna in eastern tropical Pacific."
Odocoileus virginianus nigribarbis,"Densely forested mountainous terrain, brushlands, dry ridges, swamps; sometimes in fields, marshes. Often in mixed hardwood forest with permanent water source. Seasonal changes in habitat use are linked to food availability. In southern Texas, prime habitat is open brush-savanna with free water (Ilse and Hellgren 1995). Young are born in a secluded spot in dense thicket or shaded area on high dry ground."
Ondatra zibethicus,"Usually restricted to floodplains, bottomlands, riparian areas. Prefers mature forests. Associated with dense, brushy thickets in wooded floodplains along borders of lakes, river, and swamps. Commonly seeks water to escape danger. Nests are built in slight depressions in ground under brush piles or fallen branches, in hollow logs, or in holes along banks. Females regularly build dummy nests."
Oryzomys palustris,"Early mid-successional habitats over much of continental U.S. May be found in brushy areas, open woodlands, swampy areas, stream valleys, grasslands, and suburbs. Very adaptable species. Usually absent from boreal habitats and dense woods. Nests usually are in shallow depressions in thick vegetation or in underground burrows. Does not dig burrows."
Parascalops breweri,"Strictly associated with dense cover and conifers at higher elevations; conifers and heaths, especially KALMIA and VACCINIUM (Maryland, West Virginia, Georgia, Alabama); 6-7-year-old clear cuts (Virginia); areas of heath and scrubby conifers, maintained by periodic fires, adjacent to deciduous growth (Chapman et al. 1992). In western Maryland, used areas with dense understory vegetation within mature mixed-oak forest or patches of recent clearcuts; avoided steep slopes (Barry et al. 1996). <br><br>Nests are made in a depression on the ground, sometimes at the base of a stump, lined with grass and fur and capped with twigs and leaves. (Dalke 1942, Tefft and Chapman 1983). They are usually in brush or woods rather than grasslands (Dalke 1937)."
Perimyotis subflavus,Confined solely to marshy habitats along the Atlantic and Gulf Coasts. Prefers relatively undisturbed marshes (Handley 1991). May also be found around inland lakes. Availability of water is the most important factor limiting the distribution (Blair 1936). Does not occupy burrows. Good swimmer. Nests usually are in grassy vegetation adjacent to water bodies.
Peromyscus gossypinus,"Prefers boggy habitat but also common in marshes, meadows, and upland forests with thick humus layer (especially when conditions not hot and dry); areas with intermixture of herbaceous/shrubby vegetation. Occupies burrow systems usually 6-12 inches deep and surface runways (e.g., beneath sphagnum and among roots of shrubs). Young are born in nests placed on the surface in grassy vegetation or in underground burrows. In New Jersey, nests were just under the surface in tops of sphagnum hummocks (Conner 1959)."
Peromyscus leucopus,"Habitat ranges from lowland deserts, shrublands, woodlands, and forests to high mountains. Major roosts are primarily in caves in the southwestern United States; generally buildings (generally old ones) in the southeastern United States (sometimes in hollow trees), along the U.S. West Coast, and in Jamaica; in both buildings and caves in Puerto Rico. Individuals may roost in cliff faces and other rock crevices, under bridges, on signs, or in cliff swallow nests during migration. Generally these bats roost high (at least 3 meters) above the ground to allow the amount of free fall required to attain flight. Large maternity colonies inhabit buildings and caves (rarely used in Florida); culverts and bridges may also serve as maternity sites. Individuals tend to return to their natal cave to breed (Caire et al. 1989). Foraging bats make use of agricultural landscapes and natural habitats; in Texas, the latter were most important in late summer (Davidai et al. 2015)."
Peromyscus maniculatus,"Prefers deciduous woodlands with ample cover, such as brush piles/logs, rocky forested slopes, ravines. Also found in brushlands and hedgerows. Commonly climbs trees/shrubs. Burrows often open at edge or rock, near base of tree, or under edge of building. Nest is generally constructed below ground in an extensive burrow system."
Peromyscus polionotus,"Prefers coniferous and mixed forests, but also occurs in deciduous woodlots, hedgerows, second-growth areas. Prefers to nest in tree cavities; also constructs leaf nests and uses ground burrows."
Physeter macrocephalus,"Habitat includes shallow coastal waters, estuaries, bays, rivers, and lakes; throughout most of the range, manatees appear to prefer rivers and estuaries over marine habitats (Lefebvre et al. 1989). Manatees are not averse to traveling through dredged canals or using quiet marinas. They apparently are not able to tolerate prolonged exposure to water colder than 20 C. In the north during October-April, manatees congregate in warmer water bodies (spring-fed rivers, outfalls from power plants). They prefer waters at least 1-2 meters in depth; along the coast manatees often are in water 3-5 meters deep, usually in areas lacking strong current. Except in the Greater Antilles, manatees are consistently associated with freshwater sources (Lefebvre et al. 1989). In Brevard County, Florida, the cul-de-sac shelter type was the most ecologically valuable of all shelter types (Burke 1994).<br /><br />In Florida, manatees occur in freshwater, brackish, and marine environments; typical coastal and inland habitats include coastal tidal rivers and streams, mangrove swamps, salt marshes, freshwater springs, and vegetated bottoms; where feeding often occurs in shallow grass beds, with ready access to deep channels (Smith 1993). In coastal Georgia and northeastern Florida, manatees feed on smooth cordgrass (<i>Spartina alterniflora</i>) in salt marshes at high tide (Baugh et al. 1989, Zoodsma 1991). Manatees drink from springs and freshwater runoff sites, mating, calving, and care of young often occur in secluded canals, creeks, embayments, and lagoons (Marine Mammal Commission 1986, 1988; O'Shea and Ludlow 1992; Gannon et al. 2007).<br /><br />In Puerto Rico, manatees are primarily marine but appear to depend on access to fresh water, and seagrass beds provide the primary foraging habitat (USFWS 2007)."
Procyon lotor,"Offshore form frequents pelagic waters, especially in tropics. Coastal form usually shoreward of 20 m contour, often in lagoons, bays, river mouths; ascends river in some areas; common near passes connecting large bays with ocean. Young are born in the water."
Pseudorca crassidens,"Often in woodland and shrubland in rough, broken country. Usually avoids open areas. May climb tree to avoid danger. Dens in cleft, small cave, hollow in tree or log, or debris pile; less frequently in burrow abandoned by other mammal."
Puma concolor,"Black bears inhabit forests and nearby openings, including forested wetlands. When inactive, they occupy dens under fallen trees, ground-level or above-ground tree cavities or hollow logs, underground cave-like sites, or the ground surface in dense cover. Young are born in a den. A low rate of den reuse was recorded in Pennsylvania.<br /><br />These bears prefer mixed deciduous-coniferous forests with a thick understory but may occur in various situations. Large hardwood swamps and pocosins are important habitats on the Atlantic Coastal Plain. In the Great Dismal Swamp, Virginia and North Carolina, preferred habitats were pocosins, gum-cypress and maple-coniferous stands, disturbed areas, and roads; females exhibited seasonal changes in habitat preference (Hellgren and Vaughan 1991). In some areas (e.g., Alaska), bears make significant use of salmon spawning streams. In southeastern wetlands, bears would benefit from maintenance and enhancement of pocosins, mature gum, oak, and disturbed habitats (Hellgren et al. 1991)."
Puma concolor coryi,"Various open and semi-open habitats. Usually avoids dense forest, although open woodlands frequently are used. Sometimes occurs in suburban areas or even cities (e.g., in England). May range onto sea ice (Labrador). Maternity dens are in burrows dug by fox or abandoned by other mammals, often in open fields or wooded areas, sometimes under rural buildings, in hollow logs, under stumps, etc."
Puma concolor couguar,N/A
Rattus norvegicus,"Generally but not always in deeper, offshore tropical and temperate waters, usually outside the 1000 m contour (Houston 1991)."
Rattus rattus,N/A
Reithrodontomys humulis,"Copperheads are often in or near deciduous forest in hilly situations, usually in the vicinity of rock outcrops; they occur also on floodplains and at edges of swamps in the south and in mesic situations near water in the arid west. Hibernation generally occurs in dens among rocks, or in caves, animal burrows, under objects, in hollow logs or stumps, or in similar sites. Usually copperheads area in areas with abundant surface cover such as rocks, logs, stumps, or leaf litter. They are mainly terrestrial but sometimes climb into vegetation up to a few meters above ground. In the east at least, gravid females select rocky areas that are more open and have warmer soil temperatures than those used by nongravid individuals (Reinert, cited by Ernst 1992)."
Scalopus aquaticus,"This snake occurs in a wide range of aquatic and wetland habitats: swamps, sloughs, delta bayous, bayheads, ponds and streams in pine flatwoods, pine-palmetto forest, offshore keys, marshes, river bottoms, lowland floodplains, tidal stream courses, dune and beach areas, clear upland brooks, drainage ditches in some southern cities, brackish waters, and sometimes salt marshes (Ernst and Ernst 2003, Campbell and Lamar 2004). Cottonmouths may aggregate under waterbird rookeries. Hibernation sites include rocky wooded hillsides, in crayfish burrows, under rotting stumps or other cover, or in burrows of mammals (e.g., beavers, muskrats) or tortoises."
Sciurus carolinensis,"This mostly arboreal lizard occupies a wide variety of habitats, including upland forests, pine-palmetto scrublands, rocky escarpments, swamps, wooded parks, cleared fields, maritime scrub, and residential lots of coastal towns (Palmer and Braswell 1995, Bartlett and Bartlett 1999, Trauth et al. 2004); commonly it is in edge situations. It climbs on tree trunks, shrubs, vines, and various other plants, and also on fence posts and walls of buildings. It sleeps in vegetation at night. In cold weather, green anoles seek cover but do not go deep underground (Mount 1975). Eggs are buried in moist soil, sphagnum, leaf litter, rotting wood, or under rocks and debris."
Sciurus niger,"Various sunny habitats; rarely in deep woods or forests. Coastal areas and mountains, dry areas and in lush vegetation. In Florida generally confined to urban/suburban areas but also in semi-natural habitats along roadways and in stands of introduced trees. Trunk-ground species. Found on trees, shrubs, fences, walls, lumber and rock piles, trash piles, around buildings, and on or near ground. Presumably spends night under terrestrial objects."
Sciurus niger niger,"Six-lined racerunners inhabit grassland, sandhills, sandy or gravelly banks and floodplains of streams, sparsely vegetated rocky areas at the base of mountains, woodland edges and open woods, beach dunes, and similar situations with full or partial sun exposure. They generally take shelter underground or under rocks or other objects on the ground; sometimes they escape threats by submerging in pools of water and may remained submerged by at least a few minutes. Eggs are laid in a nest dug in soft soil or sawdust pile (Mount 1975) or under logs or other sheltering objects (Barbour 1971)."
Sigmodon hispidus,"The habitat consists of mesic, wooded or partially wooded areas (hardwood or pine), often along edges or ecotones, such as near wetlands or margins of farm fields, and often in hilly areas but sometimes in flatwoods (Dundee and Rossman 1989, Palmer and Braswell 1995, Hulse et al. 2001, Ernst and Ernst 2003). This snake occurs in loose damp soil, under surface cover or leaf litter, or in rotted logs; it goes deep undergound during cold or dry weather. Eggs are laid under rocks, in rotting logs, stumps, or sawdust piles (Mount 1975, Collins 1982)."
Sorex albibarbis,"This secretive, semifossorial snake inhabits hardwood, mixed, or pine forest/woodland and adjacent open areas with sandy or loamy well-drained soils (Behler and King 1979, Trauth et al. 2004). Specific habitats include pine flatwoods, dry or dry prairie, salt grass prairie, maritime hardwood hammock, bottomland forest, sandhills, margins of irrigation canals in sawgrass prairies, borders of swamps and plowed fields, abandoned fields, and roadsides (Tennant 1984, 1997; Werler and Dixon 2000). Individuals are sometimes found under rocks or in or under logs. Eggs are laid under moist humus (Minton 1972) or in other underground sites."
Sorex cinereus,"Habitats encompass a wide range of lowland and montane areas, including deserts, prairies, sandhills, shrublands, woodlands, forests, canyons, streamsides, and semi-agricultural areas. This snake is absent from the driest deserts and highest mountains (subalpine zones and higher). It commonly climbs shrubs and small trees. When inactive, it hides underground, in crevices, or under surface cover. Adults often hibernate communally, sometimes partly submerged in water. Eggs are laid in underground tunnels or burrows, rotting stumps, sawdust piles, or under rocks. Oviposition sites may be up to at least several hundred meters from the usual home range (Brown and Parker 1976, Iverson et al. 1995)."
Sorex cinereus cinereus,"This snake occurs in a wide range of habitats: desert, prairie, scrubland, juniper-grassland, woodland, thornforest, farmland, creek valleys, and sometimes swamps; usually in relatively dry open terrain. It is terrestrial but also climbs into vegetation. It seeks cover in burrows, among rocks, or in vegetation."
